,INTERNALID,FIRSTNAME,MIDDLENAME,SURNAME,PREFERREDNAME,ADDRESS1,ADDRESS2,CITY,POSTCODE,DOB,HOMEPHONE,WORKPHONE,MOBILEPHONE,MEDICARENO
0,0,                                        ,                              ,                                        ,                              ,                                        ,                                        ,                                        ,    ,,,,,
1,50,,,                                        ,,,,,,,,,,
2,51,,,                                        ,,,,,,,,,,
3,52,,,                                        ,,,,,,,,,,
4,53,,,                                        ,,,,,,,,,,
5,14,Todd                                    ,                              ,Arthurson                               ,Todd                          ,6/122 Gympie Road                       ,                                        ,Lutwyche                                ,4030,1986-01-16,07 68745221   ,0747613287    ,              ,2294260071   
6,17,Terrance                                ,,Costello                                ,Terrance                      ,36 Reed Street                          ,,Bendigo                                 ,3552,1958-10-28,03 12345678   ,,,3500158281   
7,19,Elizabeth Jean                          ,,Marshal                                 ,Elizabeth                     ,15 Albert St                            ,,St Peters                               ,5069,1948-11-02,08 99905050   ,,,6500110502   
8,29,Annie                                   ,,Jones                                   ,Annie                         ,123 Eliott St                           ,,Newcastle                               ,2300,1982-05-12,,,,
9,38,Sandra                                  ,,Marshall                                ,Sandie                        ,490 Richard St                          ,,Kings Cross                             ,2011,1972-02-12,02 99905050   ,02 99906178   ,,5500064971   
10,39,Desmond                                 ,,Jones                                   ,Desmond                       ,5/173 Queen Street                      ,,Bendigo                                 ,3552,1958-10-12,03 88885695   ,,,4133180457   
11,40,Catherine                               ,,Jones                                   ,Catherine                     ,5/173 Queen Street                      ,,Bendigo                                 ,3552,1960-12-10,03 88885695   ,,,4133180457   
12,20,Leon                                    ,,Alberts                                 ,Leon                          ,10 Williams Road                        ,,Darwin                                  ,801 ,1990-02-14,08 23658491   ,,,6500110501   
13,21,Brittany                                ,,Alberts                                 ,Brittany                      ,10 Williams Road                        ,,Darwin                                  ,801 ,1996-06-02,08 23658491   ,,,6500110501   
14,22,Jackson                                 ,,Alberts                                 ,Jackson                       ,10 Williams Road                        ,,Darwin                                  ,801 ,2000-09-20,08 23658491   ,,,6500110501   
15,23,Joanna                                  ,,Alberts                                 ,Joanna                        ,10 Williams Road                        ,,Darwin                                  ,801 ,1970-07-30,08 23658491   ,,0407121212    ,6500110501   
16,25,Michaela                                ,,Alberts                                 ,Michaela                      ,10 Williams Road                        ,,Darwin                                  ,801 ,1988-11-23,08 23658491   ,,,6500110501   
17,26,Rochelle                                ,,Alberts                                 ,Rochelle                      ,10 Williams Road                        ,,Darwin                                  ,801 ,1991-08-01,08 23658491   ,,,6500110501   
